,user_id,subscription_type,user_journey
0,1516,Annualy,Log in-Other-Log in-Homepage-Log in-Sign up-Other-Sign up-Log in-Homepage-Log in-Checkout-Coupon-Checkout
1,3395,Annualy,Log in-Sign up-Log in-Pricing-Sign up-Homepage-Pricing-Checkout
2,10107,Annualy,Resource center-Other-Resource center-Homepage-Resource center-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Log in-Career tracks-Log in-Homepage-Log in-Checkout-Log in-Checkout-Log in-Checkout
3,11145,Monthly,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
4,12400,Monthly,Log in-Sign up-Log in-Career tracks-Sign up-Career tracks-Homepage-Career tracks-Resource center-Career track certificate-Resource center-Other-Career track certificate-Log in-Homepage-Log in-Instructors-Homepage-Instructors-Checkout
5,13082,Monthly,Checkout-Log in-Sign up-Homepage-Sign up-Checkout
6,14415,Monthly,Sign up-Pricing-Sign up-Pricing-Sign up-Log in-Homepage-Log in-Checkout
7,15630,Annualy,Checkout-Pricing-Checkout-Other-Log in-Homepage-Log in-Checkout-Coupon-Log in-Homepage-Log in-Checkout
8,16589,Quarterly,Sign up-Pricing-Sign up-Pricing-Homepage-Pricing-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Sign up-Homepage-Sign up-Checkout
9,20355,Monthly,Pricing-Career track certificate-Pricing-Career track certificate-Courses-Career track certificate-Courses-Pricing-Courses-Log in-Homepage-Log in-Checkout
10,22679,Annualy,Coupon
11,24414,Annualy,Coupon
12,31705,Annualy,Log in-Homepage-Log in-Checkout
13,34689,Monthly,Log in-Sign up-Log in-Courses-Sign up-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Log in-Homepage-Log in-Checkout
14,34912,Annualy,Log in-Checkout
15,37614,Annualy,Log in-Checkout-Courses-Pricing-Homepage-Courses-Homepage-Pricing-Homepage-Career tracks-Sign up-Homepage-Career tracks-Coupon-Checkout-Pricing-Checkout-Pricing-Checkout-Career tracks-Pricing-Career tracks-Pricing-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Other-Homepage-Other-Log in-Homepage-Log in-Checkout-Log in-Homepage-Log in-Homepage-Log in-Coupon
16,39452,Annualy,Log in-Sign up-Log in-Courses-Sign up-Other-Coupon
17,41200,Annualy,Coupon-Checkout
18,60084,Monthly,Other
19,71559,Annualy,Coupon-Checkout-Pricing-Checkout-Pricing-Sign up
20,72771,Monthly,Log in-Checkout
21,74256,Annualy,Sign up-Log in-Homepage-Log in-Other-Checkout
22,75048,Annualy,Coupon
23,82563,Monthly,Sign up-Courses-Sign up-Checkout
24,88208,Annualy,Courses-Career tracks-Courses-Career tracks-Pricing-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Pricing-Homepage-Pricing-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Log in-Pricing-Log in-Resource center-Pricing-Resource center-Course certificate-Resource center-Course certificate-Homepage-Course certificate-Pricing-Homepage-Pricing-Courses-Career tracks-Courses-Career tracks-Pricing-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Career track certificate-Log in-Homepage-Log in-Courses-Career tracks-Courses-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Career track certificate-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
25,96793,Annualy,Homepage-Pricing-Coupon
26,97516,Annualy,Log in-Courses-Log in-Courses-Homepage-Courses-Coupon
27,102461,Annualy,Pricing-Instructors-Pricing-Success stories-Pricing-Success stories-Homepage-Success stories-Coupon
28,105172,Annualy,Coupon
29,105951,Annualy,Coupon-Checkout-Pricing-Checkout
